Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
1283983679,M367CN,NY,PAS,07/18/2013,24,SDN,HYUND,H,0,0,0,20140510,0079,79,976,101043,0976,0000,0845A,,K,F,,760 BROADWAY BROOKLY,WOODHULL HOSPITAL,0,408,D5,,BBBBBBB,ALL,ALL,BLUE,0,2010,-,0,,,,,,,,,,,,,
1283983734,GBB9093,NY,PAS,07/18/2013,24,SDN,TOYOT,H,0,0,0,20141008,0079,79,976,101043,0976,0000,0907A,,K,F,,760 BROADWAY BROOKLY,WOODHULL HOSPITAL,0,408,D5,,BBBBBBB,ALL,ALL,TAN,0,1998,-,0,,,,,,,,,,,,,
1283983771,GEN8674,NY,PAS,07/31/2013,24,SDN,AUDI,X,0,0,0,20150331,0079,79,976,101080,0976,0000,0514P,,K,F,,760 BDWAY BKLYN,NY 11206,0,408,D5,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,,,,,,,,,
1283983825,GBB9093,NY,PAS,08/12/2013,24,SDN,NISSA,X,23230,41330,83330,20140713,0079,79,976,101080,0976,0000,0656P,,K,F,760,BWY,,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,,,,,,,,,
1286036800,40793JY,NY,COM,07/05/2013,14,VAN,CHEVR,P,34190,10410,10510,0,0013,13,13,944320,0013,0000,1145P,,,F,59,W 21 STREET,,0,408,C,,YYYYYYY,1100P,0600A,GREEN,0,1995,-,0,,,,,,,,,,,,,
1286123550,GAD1485,NY,PAS,08/12/2013,20,SDN,VOLKS,T,28930,27530,29830,20140729,0076,76,730,337777,T730,0000,0546P,,K,O,221,CONGRESS ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,,,,,,,,,
1286246398,GFC5338,NY,PAS,07/26/2013,14,SDN,TOYOT,T,0,40404,40404,20150128,0078,78,0,332116,BKTU,0000,1142A,,K,O,145,PROSPECT PKWAY,,0,408,C,,YYYYYYY,0800A,1000P,GRAY,0,2010,-,0,,,,,,,,,,,,,
1286246416,815M342,MD,PAS,07/30/2013,20,SUBN,SATUR,T,0,0,0,20141288,0088,88,0,332116,BKTP,0000,0724A,,K,,,N/S DEKALB AVE,E/O ST JAMES PL,0,408,D,,YYYYYBB,0700A,1000A,GREEN,0,0,-,0,,,,,,,,,,,,,
1286248000,GJA3452,NY,PAS,07/23/2013,14,SDN,KIA,T,73690,40430,48230,20140930,0071,71,730,338558,T730,0000,0758A,,K,F,576,ROGERS AVE,,0,408,J3,,YYYYYBB,0700A,1000A,WH,0,2013,-,0,,,,,,,,,,,,,
1286282330,YZY6476,NC,PAS,07/29/2013,20,SDN,NISSA,T,32030,75130,50830,20131088,0081,81,730,332020,T730,0000,0736A,,K,F,702,DECATUR ST,,0,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,,,,,,,,,
1286282342,YZY6476,LA,PAS,08/07/2013,17,SUBN,HONDA,T,0,0,0,20140488,0081,81,730,332020,T730,0000,0847A,,K,,,N/S LINDEN ST,60  E/O BROADWAY,0,408,K2,,BBBBBBB,0800A,0600P,TAN,0,0,-,0,,,,,,,,,,,,,
1286289841,YZY6476,NY,PAS,07/20/2013,50,SDN,HONDA,T,0,0,0,20140705,0028,28,730,331797,T730,0000,1120A,,K,,,N/S WILLOUGHBY AVE,5 E/O VANDERBILT,0,408,L2,,BBBBBBB,ALL,ALL,GY,0,2012,-,0,,,,,,,,,,,,,
1286654920,YZY6476,NJ,PAS,07/18/2013,50,SDN,N/S,T,0,0,0,0,0001,1,0,346004,0SIC,0000,1020A,,NY,,,,,0,408,C3,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,,,,,,,,,
1286799648,YZY6476,NY,PAS,07/20/2013,40,SDN,TOYOT,T,0,0,0,20141206,0001,1,0,331825,MTPU,0000,0324P,,NY,,,E/S RIVER TER.,20  N/O WARREN ST,0,408,C,,BBBBBBB,ALL,ALL,TN,0,2003,-,9,,,,,,,,,,,,,
1286807062,YZY6476,IL,PAS,08/10/2013,40,SDN,SCIO,T,26630,40930,18630,0,0071,71,730,338594,T730,0000,1018A,,K,O,11,CLARKSON AVE,,0,408,D,,BBBBBBB,ALL,ALL,BK,0,0,-,6,,,,,,,,,,,,,
1286807475,GGL6608,NY,PAS,07/26/2013,40,SDN,NISSA,T,73650,60530,50630,20140930,0090,90,730,346108,T730,0000,0743A,,K,O,143,ROEBLING ST,,0,408,K2,,BBBBBBB,ALL,ALL,WHT,0,2013,-,1,,,,,,,,,,,,,
1286807633,84301JU,NY,COM,07/19/2013,14,P-U,DODGE,X,63030,74830,67030,20141031,0079,79,730,345140,T730,0000,0850A,,K,F,737,MYRTLE AVE,,0,408,I4,,BBBBBBB,ALL,ALL,WH,0,2001,-,0,,,,,,,,,,,,,
1286808807,HHG3545,PA,PAS,08/06/2013,20,SDN,TOYOT,T,21130,71330,89930,0,0084,84,730,344784,T730,0000,0915A,,K,F,43,BRIDGE ST,,0,408,I3,,YYYYBBB,0800A,0600P,GR,0,0,-,0,,,,,,,,,,,,,
1287320491,50097JX,NY,COM,08/07/2013,40,VAN,MERCU,T,23190,27290,20340,20140331,0005,5,110,349476,T110,0000,1023A,,NY,O,124,HUDSON ST,,0,408,E1,,BBBBBBB,ALL,ALL,RD,0,2003,-,0,,,,,,,,,,,,,
1287320570,GEJ9154,NY,PAS,08/06/2013,51,VAN,TOYOT,X,93230,74830,67030,20150321,0079,79,110,349476,T110,0000,1120A,,K,O,436,WILLOUGHBY AVE,,0,408,F7,,BBBBBBB,ALL,ALL,GY,0,2013,-,0,,,,,,,,,,,,,
1287517304,6B22924,ID,PAS,07/22/2013,20,SDN,VOLKS,T,36250,10610,10810,0,0028,28,108,331847,T108,0000,0521P,,NY,F,238,W 124 ST,,0,408,D,,YYYYYYB,0800A,0600P,GY,0,0,-,0,,,,,,,,,,,,,
1287517316,4135TE,ME,PAS,07/22/2013,14,SDN,TOYOT,T,0,0,0,0,0026,26,108,331847,T108,0000,0251P,,NY,,,E/S CONVENT AVE,200  S O W 135,0,408,D,,YYYYYYY,ALL,ALL,BL,0,0,-,0,,,,,,,,,,,,,
1287518126,WMI,CT,PAS,07/24/2013,31,SUBN,ME/BE,T,34510,13610,10610,0,0014,14,108,330898,T108,0000,0410P,,,O,142,W 37 ST,,0,408,I3,,YYYYYYB,ALL,ALL,BK,0,0,-,0,,,,,,,,,,,,,
1287603671,P752957,99,999,07/20/2013,85,DELV,VOLVO,T,17330,89740,9530,0,0066,66,108,338568,T108,0000,0246A,1134P,K,F,5810,BAY PARKWAY,,20130719,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,,,,,,,,,
1287603683,P774757,IL,PAS,03/20/2013,85,TRLR,VOLVO,T,17330,89740,9530,0,0066,66,108,338568,T108,0000,0300A,0950P,K,O,5810,BAY PARKWAY,,20130719,408,K5,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,,,,,,,,,
1288135920,GFM8884,NY,OMS,07/24/2013,19,SUBN,ME/BE,X,0,40404,40404,20140930,0084,84,0,881709,KINA,0000,0105P,,K,F,209,JORLEMON ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLU,0,2013,-,0,,,,,,,,,,,,,
1288259270,43517LA,NY,PAS,08/02/2013,18,SDN,CADIL,P,73720,26640,26670,20140331,0046,46,401,906480,0401,0000,0450P,,NY,F,1135,WEBSTER AVE,,0,408,F4,,BBBBBBB,ALL,ALL,WHT,0,2004,-,0,,,,,,,,,,,,,
1288360800,HYM4303,PA,PAS,08/06/2013,41,SDN,MITSU,P,29090,13113,13113,0,0025,25,805,948345,0805,0000,0618P,,,O,50,PALADINO,,0,408,D5,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,,,,,,,,,
1289971754,XDB4574,VA,PAS,08/01/2013,40,VAN,TOYOT,P,13610,34750,34770,20140731,,0,0,930825,0000,0000,0730P,,NY,F,1619,BROADWAY,,0,408,I4,,BBBBBBB,ALL,ALL,RED,0,2007,-,0,,,,,,,,,,,,,
